Muscle Group,Exercise,Equipment
Muscle Targeted:Triceps,Kneeling cable triceps extension,Equipment Type:Cable
Muscle Targeted:Triceps,Single-arm cable triceps extension,Equipment Type:Cable
Muscle Targeted:Triceps,Triceps Pushdown - Rope Attachment,Equipment Type:Cables
Muscle Targeted:Triceps,Seated triceps press,Equipment Type:Dumbbell
Muscle Targeted:Triceps,Incline EZ-bar skullcrusher,Equipment Type:Barbell
Muscle Targeted:Triceps,Decline Close-Grip Bench To Skull Crusher,Equipment Type:Barbell
Muscle Targeted:Triceps,Tricep Dumbbell Kickback,Equipment Type:Dumbbell
Muscle Targeted:Lats,Weighted pull-up,Equipment Type:Other
Muscle Targeted:Lats,Pullups,Equipment Type:Body Only
Muscle Targeted:Lats,Rocky Pull-Ups/Pulldowns,Equipment Type:Other
Muscle Targeted:Lats,Close-grip pull-down,Equipment Type:Cable
Muscle Targeted:Lats,Pull-up,Equipment Type:Body Only
Muscle Targeted:Lats,Muscle Up,Equipment Type:Body Only
Muscle Targeted:Lats,Shotgun row,Equipment Type:Cable
Muscle Targeted:Lats,Close-Grip Front Lat Pulldown,Equipment Type:Cable
Muscle Targeted:Lats,V-bar pull-up,Equipment Type:
Muscle Targeted:Lats,Rope climb,Equipment Type:Body Only
Muscle Targeted:Lats,Wide-Grip Rear Pull-Up,Equipment Type:Body Only
Muscle Targeted:Lats,Straight-arm rope pull-down,Equipment Type:Cable
Muscle Targeted:Lats,Lat pull-down,Equipment Type:Cable
Muscle Targeted:Lats,Reverse-grip lat pull-down,Equipment Type:Machine
Muscle Targeted:Lats,Gironda Sternum Chins,Equipment Type:Other
Muscle Targeted:Middle Back,T-Bar Row with Handle,Equipment Type:Other
Muscle Targeted:Middle Back,Reverse-grip bent-over row,Equipment Type:Barbell
Muscle Targeted:Middle Back,One-Arm Dumbbell Row,Equipment Type:Dumbbell
Muscle Targeted:Middle Back,One-Arm Long Bar Row,Equipment Type:Barbell
Muscle Targeted:Middle Back,T-Bar Row,Equipment Type:Other
Muscle Targeted:Middle Back,Bent Over Two-Arm Long Bar Row,Equipment Type:Barbell
Muscle Targeted:Middle Back,Alternating sit-through with crunch,Equipment Type:Other
Muscle Targeted:Middle Back,Rower,Equipment Type:Machine
Muscle Targeted:Middle Back,Seated Cable Rows,Equipment Type:Cable
Muscle Targeted:Middle Back,Incline dumbbell row,Equipment Type:Dumbbell
Muscle Targeted:Middle Back,Bent Over Two-Dumbbell Row With Palms In,Equipment Type:Dumbbell
Muscle Targeted:Middle Back,Upside-down pull-up,Equipment Type:Other
Muscle Targeted:Middle Back,Bent Over Barbell Row,Equipment Type:Barbell
Muscle Targeted:Middle Back,Single-arm cable seated row,Equipment Type:Cable
Muscle Targeted:Middle Back,Kettlebell alternating renegade row,Equipment Type:Kettlebells
Muscle Targeted:Lower Back,Atlas Stones,Equipment Type:Other
Muscle Targeted:Lower Back,Barbell deficit deadlift,Equipment Type:Barbell
Muscle Targeted:Lower Back,Back extension,Equipment Type:Body Only
Muscle Targeted:Lower Back,Axle Deadlift,Equipment Type:Other
Muscle Targeted:Lower Back,Hyperextensions With No Hyperextension Bench,Equipment Type:Body Only
Muscle Targeted:Lower Back,Deadlift with Bands,Equipment Type:Barbell
Muscle Targeted:Lower Back,Deadlift with Chains,Equipment Type:Barbell
Muscle Targeted:Lower Back,Rack Pull with Bands,Equipment Type:Barbell
Muscle Targeted:Lower Back,Superman,Equipment Type:Body Only
Muscle Targeted:Lower Back,Exercise ball weighted hyperextension,Equipment Type:Exercise Ball
Muscle Targeted:Lower Back,Rack pull,Equipment Type:Barbell
Muscle Targeted:Lower Back,Seated Back Extension,Equipment Type:Machine
Muscle Targeted:Lower Back,Seated Good Mornings,Equipment Type:Barbell
Muscle Targeted:Lower Back,Stiff Leg Barbell Good Morning,Equipment Type:Barbell
Muscle Targeted:Lower Back,Atlas Stone Trainer,Equipment Type:Other
Muscle Targeted:Glutes,Barbell glute bridge,Equipment Type:Barbell
Muscle Targeted:Glutes,Barbell Hip Thrust,Equipment Type:Barbell
Muscle Targeted:Glutes,Single-leg cable hip extension,Equipment Type:Cable
Muscle Targeted:Glutes,Glute bridge,Equipment Type:Body Only
Muscle Targeted:Glutes,Single-leg glute bridge,Equipment Type:Body Only
Muscle Targeted:Glutes,Step-up with knee raise,Equipment Type:Body Only
Muscle Targeted:Glutes,Kettlebell thruster,Equipment Type:Kettlebells
Muscle Targeted:Glutes,Kneeling Squat,Equipment Type:Barbell
Muscle Targeted:Glutes,Flutter Kicks,Equipment Type:Weight Bench
Muscle Targeted:Glutes,Glute Kickback,Equipment Type:Body Only
Muscle Targeted:Glutes,Exercise ball hip thrust,Equipment Type:Exercise Ball
Muscle Targeted:Glutes,Kneeling Jump Squat,Equipment Type:Barbell
Muscle Targeted:Glutes,Pull Through,Equipment Type:Cable
Muscle Targeted:Glutes,Hip Extension with Bands,Equipment Type:Bands
Muscle Targeted:Glutes,Piriformis SMR,Equipment Type:Foam Roll
